decade,lg,tp,len_bucket,ocrqa_bucket,n
1800,en,ad,600-800,NA,81
1810,en,ad,200-400,NA,132
1820,en,ad,200-400,0.6-0.7,7
1820,it,article,200-400,NA,2
1820,en,ad,600-800,0.7-0.8,26
1820,NA,article,200-400,NA,283
1820,NA,article,<200,NA,5818
1820,NA,article,600-800,NA,50
1820,NA,article,>=800,NA,242
1820,NA,article,400-600,NA,116
1820,NA,ad,200-400,NA,18
1840,NA,article,400-600,NA,249
1860,en,article,200-400,0.5-0.6,49
1880,en,ad,600-800,>=0.8,27
1880,en,ad,<200,NA,18
1880,en,ad,400-600,>=0.8,45
1880,fr,article,200-400,>=0.8,98999
1820,NA,ad,<200,NA,12
1820,NA,ad,400-600,NA,8
1870,NA,article,<200,NA,6276
1870,NA,article,200-400,NA,184
1870,NA,ad,<200,NA,4
1870,en,ad,200-400,>=0.8,79
1870,NA,article,>=800,NA,692
1870,NA,article,600-800,NA,72
1870,NA,article,400-600,NA,80
1870,NA,ad,>=800,NA,45
1830,NA,ad,>=800,NA,49
1830,NA,ad,600-800,NA,2
1830,NA,ad,400-600,NA,2
1830,NA,ad,<200,NA,1
1880,en,ad,<200,>=0.8,105
1890,en,ad,400-600,NA,2
1890,en,ad,200-400,NA,3
1900,en,ad,400-600,>=0.8,28
1830,it,article,>=800,NA,2
1840,la,article,400-600,NA,7
1860,cy,article,600-800,NA,13
1860,cy,article,<200,NA,9
1860,cy,article,200-400,NA,23
1860,cy,article,400-600,NA,19
1870,cy,article,200-400,NA,70
1870,cy,article,>=800,NA,106
1870,cy,article,<200,NA,50
1870,cy,article,400-600,NA,15
1870,cy,article,600-800,NA,12
1880,cy,article,200-400,NA,48
1880,cy,article,400-600,NA,19
1880,cy,article,>=800,NA,190
1880,cy,article,600-800,NA,32
1880,cy,article,<200,NA,36
1890,cy,article,<200,NA,16
1890,cy,article,>=800,NA,67
1890,cy,article,400-600,NA,8
1890,cy,article,600-800,NA,8
1810,fr,article,200-400,>=0.8,995
1870,fr,article,200-400,>=0.8,44551
1870,tl,article,200-400,NA,3
1840,en,ad,600-800,NA,7
1840,it,article,<200,NA,5
1840,en,article,200-400,0.5-0.6,10
1840,en,ad,>=800,0.6-0.7,34
1840,en,article,400-600,0.5-0.6,10
1800,en,ad,400-600,0.6-0.7,8
1800,en,ad,600-800,0.6-0.7,14
1820,en,ad,<200,0.7-0.8,4
1820,NA,ad,600-800,NA,6
1870,de,article,<200,0.7-0.8,2348
1870,fr,article,<200,>=0.8,19668
1860,es,article,600-800,NA,1
1860,de,article,>=800,>=0.8,42865
1860,fr,article,200-400,>=0.8,27918
1860,it,article,>=800,NA,13
1860,fr,article,400-600,>=0.8,20264
1860,fr,article,<200,>=0.8,17405
1860,fr,article,200-400,0.6-0.7,832
1860,fr,article,200-400,0.7-0.8,2579
1860,fr,article,>=800,>=0.8,195332
1860,fr,article,600-800,0.7-0.8,1901
1860,fr,article,<200,0.7-0.8,1543
1860,fr,article,>=800,0.7-0.8,15292
1860,it,article,<200,NA,9
1860,es,article,200-400,NA,1
1860,fr,article,400-600,0.7-0.8,2125
1870,fr,article,>=800,>=0.8,295333
1870,fr,article,600-800,>=0.8,24567
1870,fr,article,400-600,>=0.8,31898
1870,fr,article,>=800,0.7-0.8,27110
1870,fr,article,400-600,0.7-0.8,3226
1870,fr,article,600-800,0.7-0.8,3370
1870,es,article,>=800,NA,4
1870,fr,article,<200,0.7-0.8,2816
1870,fr,article,200-400,0.7-0.8,4042
1850,en,article,200-400,0.5-0.6,35
1850,en,article,<200,<0.5,6
1860,en,ad,<200,NA,14
1860,en,ad,600-800,NA,1
1880,fi,article,400-600,NA,2
1880,en,ad,600-800,0.6-0.7,2
1880,en,ad,600-800,0.7-0.8,7
1880,en,ad,200-400,0.7-0.8,47
1880,es,article,200-400,NA,1
1850,fr,article,400-600,0.7-0.8,1821
1850,fr,article,200-400,>=0.8,12734
1850,it,article,200-400,NA,6
1850,de,article,400-600,>=0.8,2210
1850,de,article,200-400,>=0.8,2665
1850,de,article,200-400,0.7-0.8,2445
1850,it,article,<200,NA,7
1860,it,article,200-400,NA,14
1860,it,article,400-600,NA,4
1860,de,article,<200,0.6-0.7,1457
1870,en,ad,>=800,<0.5,7
1840,fr,article,600-800,0.7-0.8,816
1840,de,article,<200,>=0.8,734
1840,fr,article,400-600,>=0.8,7339
1850,la,article,>=800,NA,31
1850,de,article,>=800,0.7-0.8,23597
1850,it,article,>=800,NA,2
1810,NA,article,<200,NA,3680
1810,NA,article,200-400,NA,29
1810,NA,article,400-600,NA,21
1810,NA,article,>=800,NA,26
1810,NA,ad,400-600,NA,5
1850,la,article,400-600,NA,2
1840,fr,article,200-400,>=0.8,6788
1800,en,ad,>=800,0.5-0.6,1447
1800,en,ad,200-400,NA,84
1800,en,article,400-600,0.5-0.6,48
1800,en,ad,200-400,0.7-0.8,125
1800,en,article,>=800,<0.5,548
1810,en,ad,600-800,0.6-0.7,10
1820,fr,article,>=800,>=0.8,28761
1840,en,ad,600-800,0.7-0.8,3
1840,it,article,400-600,NA,2
1840,la,article,600-800,NA,2
1800,en,ad,400-600,NA,62
1810,en,ad,>=800,0.5-0.6,203
1820,fr,article,200-400,>=0.8,1727
1870,es,article,200-400,NA,2
1840,en,article,600-800,0.5-0.6,7
1820,en,article,600-800,<0.5,4
1820,en,article,<200,<0.5,1
1800,en,ad,200-400,0.6-0.7,22
1800,en,ad,>=800,<0.5,62
1800,en,article,<200,<0.5,3
1800,en,article,200-400,<0.5,2
1800,en,article,400-600,<0.5,2
1810,la,article,>=800,NA,4
1840,en,ad,400-600,0.7-0.8,1
1840,en,ad,>=800,0.5-0.6,2
1820,fr,article,400-600,0.7-0.8,403
1900,fr,article,200-400,0.6-0.7,3445
1850,en,ad,200-400,0.6-0.7,18
1850,en,ad,200-400,0.7-0.8,197
1820,NA,ad,>=800,NA,51
1870,it,article,200-400,NA,15
1870,it,article,400-600,NA,10
1870,it,article,<200,NA,4
1870,de,article,>=800,>=0.8,44684
1870,de,article,600-800,0.7-0.8,2555
1870,de,article,400-600,>=0.8,3553
1870,de,article,600-800,>=0.8,2866
1870,fr,article,200-400,0.6-0.7,916
1870,de,article,400-600,0.6-0.7,2769
1870,de,article,<200,0.5-0.6,2114
1870,de,article,<200,>=0.8,3344
1870,it,article,>=800,NA,9
1880,de,article,<200,>=0.8,4302
1880,fr,article,<200,>=0.8,51688
1880,fr,article,>=800,0.7-0.8,38749
1890,cy,article,200-400,NA,8
1830,fr,article,>=800,0.7-0.8,2642
1870,de,article,200-400,0.5-0.6,3385
1870,de,article,200-400,0.6-0.7,4450
1870,de,article,>=800,0.7-0.8,41795
1870,de,article,400-600,0.5-0.6,2215
1840,cy,article,400-600,NA,1
1860,NA,ad,>=800,NA,4
1880,en,ad,200-400,NA,3
1880,en,ad,400-600,NA,1
1870,en,ad,400-600,NA,1
1870,en,ad,<200,0.7-0.8,4
1870,en,ad,200-400,NA,2
1810,tl,article,200-400,NA,1
1810,en,ad,>=800,<0.5,18
1860,en,article,200-400,<0.5,18
1890,eo,article,200-400,NA,1
1900,fr,article,<200,0.7-0.8,10358
1860,en,ad,>=800,<0.5,5
1860,tl,article,200-400,NA,9
1860,tl,article,400-600,NA,1
1860,tl,article,<200,NA,2
1870,tl,article,<200,NA,1
1830,en,article,<200,0.5-0.6,23
1830,la,article,400-600,NA,1
1830,en,article,600-800,0.5-0.6,7
1830,en,article,200-400,0.5-0.6,13
1820,la,article,200-400,NA,2
1830,en,article,400-600,0.5-0.6,6
1830,en,ad,>=800,0.5-0.6,6
1830,en,article,>=800,<0.5,176
1830,fr,article,200-400,0.7-0.8,333
1830,de,article,<200,0.7-0.8,274
1830,en,ad,>=800,<0.5,3
1830,en,ad,600-800,NA,15
1850,en,article,200-400,<0.5,2
1850,de,article,>=800,>=0.8,29602
1850,fr,article,>=800,0.7-0.8,10817
1850,es,article,>=800,NA,1
1850,de,article,<200,>=0.8,1382
1860,de,article,<200,>=0.8,2389
1760,en,article,>=800,0.7-0.8,372
1760,en,article,>=800,>=0.8,78
1760,en,article,600-800,>=0.8,18
